empl_id,id,name
1057,7.540,Разработка программного обеспечения
4674614,13.665,"Консалтинг, оценка в недвижимости"
4674614,7.541,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
3125,7.541,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
2059288,7.540,Разработка программного обеспечения
87021,41.525,Интернет-магазин
87021,7.540,Разработка программного обеспечения
1110684,7.541,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
1110684,7.540,Разработка программного обеспечения
1110684,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
1060266,7.540,Разработка программного обеспечения
1060266,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
4181,43.648,"Управляющая, инвестиционная компания (управление активами)"
4181,43.647,Банк
2618793,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
2942396,7.540,Разработка программного обеспечения
2942396,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
3908202,7.540,Разработка программного обеспечения
3908202,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
654435,44.391,Кадровые агентства
654435,7.541,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
654435,7.540,Разработка программного обеспечения
654435,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
3524588,7.541,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
1055151,7.540,Разработка программного обеспечения
1947314,44.391,Кадровые агентства
89,43.647,Банк
2298630,7.541,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
2298630,7.540,Разработка программного обеспечения
2298630,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
25022,44.391,Кадровые агентства
1554975,47.614,"Нефтехимия (продвижение, оптовая торговля)"
1554975,47.612,"Нефтепереработка, нефтехимия (производство)"
1554975,47.618,Переработка газа
1554975,13.659,Строительство промышленное
1554975,13.655,Строительство объектов нефтегазовой отрасли
899854,7.540,Разработка программного обеспечения
899854,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
899854,9.400,Фиксированная связь
78638,43.643,Коллекторская деятельность
78638,43.647,Банк
78638,7.541,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
78638,7.540,Разработка программного обеспечения
78638,7.539,"Системная интеграция,  автоматизации технологических и бизнес-процессов предприятия, ИТ-консалтинг"
1429999,7.541,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
2863076,39.445,"Повышение квалификации, переквалификация"
2863076,7.541,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
2863076,7.540,Разработка программного обеспечения
2935,388.502,Оборудование и станки для металлургии и металлообработки (производство)
2935,388.503,"Оборудование и станки для металлургии и металлообработки (монтаж, сервис, ремонт)"
2935,46.473,"Передача, распределение электроэнергии"
2935,46.471,"Теплоэнергетика (генерация электроэнергии и тепла, ТЭС)"
2935,33.434,"Железнодорожное машиностроение, вагоностроение"
1564038,7.541,"Интернет-компания (поисковики, платежные системы, соц.сети, информационно-познавательные и развлекательные ресурсы, продвижение сайтов и прочее)"
1564038,7.540,Разработка программного обеспечения
